Year,Category,Nominee,Won?
2011,Cecil B. DeMille Award,"De Niro, Robert",yes
2011,Best Motion Picture - Drama,Black Swan,no
2011,Best Motion Picture - Drama,"Fighter, The",no
2011,Best Motion Picture - Drama,Inception,no
2011,Best Motion Picture - Drama,"King's Speech, The",no
2011,Best Motion Picture - Drama,"Social Network, The",yes
2011,Best Performance by an Actress in a Motion Picture - Drama,"Berry, Halle in Frankie and Alice",no
2011,Best Performance by an Actress in a Motion Picture - Drama,"Kidman, Nicole in Rabbit Hole",no
2011,Best Performance by an Actress in a Motion Picture - Drama,"Lawrence, Jennifer in Winter's Bone",no
2011,Best Performance by an Actress in a Motion Picture - Drama,"Portman, Natalie in Black Swan",yes
2011,Best Performance by an Actress in a Motion Picture - Drama,"Williams, Michelle in Blue Valentine",no
2011,Best Performance by an Actor in a Motion Picture - Drama,"Eisenberg, Jesse in Social Network, The",no
2011,Best Performance by an Actor in a Motion Picture - Drama,"Firth, Colin in King's Speech, The",yes
2011,Best Performance by an Actor in a Motion Picture - Drama,"Franco, James in 127 Hours",no
2011,Best Performance by an Actor in a Motion Picture - Drama,"Gosling, Ryan in Blue Valentine",no
2011,Best Performance by an Actor in a Motion Picture - Drama,"Wahlberg, Mark in Fighter, The",no
2011,Best Motion Picture - Comedy Or Musical,Alice in Wonderland,no
2011,Best Motion Picture - Comedy Or Musical,Burlesque,no
2011,Best Motion Picture - Comedy Or Musical,"Kids Are All Right, The",yes
2011,Best Motion Picture - Comedy Or Musical,Red,no
2011,Best Motion Picture - Comedy Or Musical,"Tourist, The",no
2011,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Bening, Annette in Kids Are All Right, The",yes
2011,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Hathaway, Anne in Love & Other Drugs",no
2011,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Jolie, Angelina in Tourist, The",no
2011,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Moore, Julianne in Kids Are All Right, The",no
2011,Best Performance by an Actress in a Motion Picture - Comedy Or Musical,"Stone, Emma in Easy A",no
