"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age Groups","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
1,"NCT01163240","Epidemiological Study in Children and Adolescents With Chronic Hepatitis B","Completed","No Results Available","Liver Diseases|Hepatitis, Chronic|Hepatitis, Viral, Human|Hepatitis|Virus Diseases|Digestive System Diseases|Hepatitis B, Chronic|Hepatitis B|DNA Virus Infections","","Novartis Pharmaceuticals|Novartis","Both","Child|Adult","","1640","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CLDT600A2414","July 14, 2010","June 2009","null","September 26, 2011","September 2011","No Study Results Posted","EPIC B","September 2011","Obtain epidemiological data in children and adolescents with chronic hepatitis B that will assist the feasibility and design of studies for the Novartis telbivudine clinical pediatric development program","https://ClinicalTrials.gov/show/NCT01163240"
2,"NCT00023309","Lamivudine and Adefovir to Treat Chronic Hepatitis B","Completed","Has Results","HBV (Hepatitis B Virus)|Hepatitis B|Hepatitis","Drug: Lamivudine and adefovir|Drug: Adefovir alone","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","Phase 2","41","NIH","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","010246|01-DK-0246","September 3, 2001","August 2001","August 2013","July 18, 2014","July 2014","July 7, 2011","null","April 2010","Maintained Combined Response (Virological, Biochemical and Histological Response).|HBeAg Loss at Week 196|Virological Response|Biological Response|Histological Response","https://ClinicalTrials.gov/show/NCT00023309"
3,"NCT01988753","Non-invasive Biomarkers of Fibrosis in Pediatric Viral Hepatitis","Recruiting","No Results Available","Viral Hepatitis|Liver Fibrosis|Liver Disease|Hepatitis B|Hepatitis C","","Baylor College of Medicine","Both","Child","","45","Other","Observational","Time Perspective: Prospective","H-30472","November 14, 2013","October 2013","February 2017","March 23, 2015","March 2015","No Study Results Posted","null","December 2015","Non-invasive shearwave elastography (SWE) for detecting fibrosis in children with hepatitis|Serum Biomarker analysis","https://ClinicalTrials.gov/show/NCT01988753"
4,"NCT00160940","Differential Gene Expression of Liver Tissue and Blood From Individuals With Chronic Viral Hepatitis","Recruiting","No Results Available","Hepatitis C|Hepatitis B|Autoimmune Hepatitis|Liver Cirrhosis, Biliary|Cholangitis, Sclerosing","","University Health Network, Toronto","Both","Adult|Senior","","200","Other","Observational","Observational Model: Defined Population|Time Perspective: Cross-Sectional|Time Perspective: Prospective","02-0019-C","September 8, 2005","February 2002","null","November 29, 2005","September 2005","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00160940"
5,"NCT01464827","ABT-450 With Ritonavir and ABT-267 and/or ABT-333 With and Without Ribavirin in Genotype 1 Hepatitis C Virus Infected Patients","Completed","Has Results","Chronic Hepatitis C|Hepatitis C (HCV)|Hepatitis C Genotype 1","Drug: ABT-450|Drug: ABT-333|Drug: ABT-267|Drug: Ribavirin|Drug: Ritonavir","AbbVie (prior sponsor, Abbott)|AbbVie","Both","Adult|Senior","Phase 2","580","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M11-652|2010-022455-31","September 28, 2011","October 2011","September 2013","April 2, 2015","April 2015","December 23, 2014","null","March 2013","Number of Participants With Adverse Events (AEs)|Percentage of Participants With Sustained Virologic Response 24 Weeks Post-dose for 8 Weeks Versus 12 Weeks of Treatment With 3 DAAs and Ribavirin|Percentage of Participants With Sustained Virologic Response 24 Weeks Post-dose Following Treatment of Different Durations With 3 Direct-acting Antiviral Agents (DAAs) and Ribavirin|Percentage of Participants With Sustained Virologic Response 24 Weeks Post-dose Following Treatment for 12 Weeks With 2 DAAs and Ribavirin Versus 3 DAAs and Ribavirin|Percentage of Participants With Sustained Virologic Response 24 Weeks Post-dose Following Treatment for 12 Weeks With 3 DAAs With Versus Without Ribavirin|Percentage of Participants With Sustained Virologic Response 24 Weeks Post-dose in Treatment-naïve Versus Null-responders","https://ClinicalTrials.gov/show/NCT01464827"
6,"NCT00755950","Randomized Placebo-controlled Trial Evaluating the Safety and Efficacy of Silymarin Treatment in Patients With Acute Viral Hepatitis","Terminated","No Results Available","Acute Hepatitis A|Acute Hepatitis B|Acute Hepatitis C|Acute Hepatitis E|Acute EBV Hepatitis|Acute CMV Hepatitis","Dietary Supplement: Silymarin|Dietary Supplement: Silymarin|Other: Lactose monohydrate","University of Maryland|MADAUS GmbH|The Egyptian Company for Blood Transfusion Services (EgyBlood)|Tanta Fever Hospital|Banha Fever Hospital|Alexandria University","Both","Adult|Senior","Phase 2|Phase 3","70","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)","HP-00042363|LE13K0.48","September 17, 2008","October 2008","December 2015","March 2, 2015","March 2015","No Study Results Posted","null","November 2011","Incidence, severity and duration of Adverse Events|Normalization of total (<1.0 mg/dl) and direct bilirubin (<0.3 mg/dl)|Normalization of ALT, AST, CRP and ESR|Symptom resolution & return to normal physical activity|In AVH patients with specific etiologies resolution of clinical signs and symptoms|Persistence of acute HCV with progression to chronicity","https://ClinicalTrials.gov/show/NCT00755950"
7,"NCT02476617","Ombitasvir/ABT-450/Ritonavir (Ombitasvir/ABT-450/r) With Dasabuvir and Ribavirin (RBV) in Treatment Naive and Treatment Experienced Genotype 1a Hepatitis C Virus Infected Adults","Recruiting","No Results Available","Chronic Hepatitis C|Hepatitis C (HCV)|Hepatitis C Genotype 1a","Drug: ombitasvir/ABT-450/ritonavir|Drug: dasabuvir|Drug: ribavirin","AbbVie","Both","Adult|Senior","Phase 3","40","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-243","June 17, 2015","June 2015","November 2016","October 16, 2015","October 2015","No Study Results Posted","null","February 2016","Change in interferon-stimulated gene (ISG) expression in peripheral blood mononucleated cells (PBMCs)","https://ClinicalTrials.gov/show/NCT02476617"
8,"NCT02493855","Ombitasvir/ABT-450/Ritonavir (Ombitasvir/ABT-450/r) and Dasabuvir Therapy With Low Dose Ribavirin (RBV), Full Dose RBV or RBV Add-On in Treatment Naive Genotype 1a Hepatitis C Virus Infected Adults","Recruiting","No Results Available","Chronic Hepatitis C|Hepatitis C (HCV)|Hepatitis C Genotype 1a","Drug: ombitasvir/ABT-450/ritonavir|Drug: dasabuvir|Drug: ribavirin","AbbVie","Both","Adult|Senior","Phase 2","60","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","M14-242|2014-001478-32","July 2, 2015","June 2015","December 2016","October 16, 2015","October 2015","No Study Results Posted","null","January 2016","Slope of the second phase decline in plasma HCV RNA levels during treatment","https://ClinicalTrials.gov/show/NCT02493855"
9,"NCT01609933","A Study to Evaluate the Safety and Effect of Treatment With Experimental Antiviral Drugs in Combination With Peginterferon Alpha-2a and Ribavirin in People With Hepatitis C Virus Who Did Not Respond to Treatment in a Previous AbbVie/Abbott Combination Study","Active, not recruiting","No Results Available","Chronic Hepatitis C|Hepatitis C (HCV)|Hepatitis C Genotype 1","Drug: ABT-450/r|Drug: ABT-267|Drug: pegylated interferon alpha-2a (pegIFN)|Drug: Ribavirin (RBV)","AbbVie (prior sponsor, Abbott)|AbbVie","Both","Adult|Senior","Phase 2","93","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label","M13-101|2011-005393-32","May 30, 2012","December 2012","May 2017","October 10, 2015","October 2015","No Study Results Posted","null","September 2016","Percentage of subjects achieving 12-week sustained virologic response following treatment with 2 direct acting anti-virals and peginterferon alpha-2a and ribavirin in Hepatitis C infected adults.|Percentage of subjects achieving 24-week sustained virologic response following treatment with 2 direct acting anti-viral and peginterferon alpha-2a and ribavirin in Hepatitis C infected adults.|Percentage of subjects with extended rapid virologic response (Hepatitis C ribonucleic acid less than lower limit of quantitation at Weeks 4 through 12 of therapy with ABT 450/r plus ABT-267 plus peginterferon alpha-2a plus ribavirin)|Number and percentage of subjects having treatment-emergent adverse events.","https://ClinicalTrials.gov/show/NCT01609933"
10,"NCT01888900","New Treatment Response in People With and Without Cirrhosis From Chronic Hepatitis C","Recruiting","No Results Available","Cirrhosis|Chronic Hepatitis C|Hepatitis C|Hepatitis C, Chronic","Drug: Asunaprevir and Daclatsvir|Drug: Asunaprevir, daclatsvir, peginterferon, ribavirin","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)|Bristol-Myers Squibb|National Institutes of Health Clinical Center (CC)","Both","Adult|Senior","Phase 2","70","NIH|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label","130150|13-DK-0150","June 26, 2013","May 2013","April 2016","June 4, 2015","February 2015","No Study Results Posted","null","April 2016","Changes in interferon stimulated genes during therapy with asunaprevir and dacalatsvir|Safety and efficacy of asunaprevir and dacalatsvir","https://ClinicalTrials.gov/show/NCT01888900"
